Cat,Gender,Time
old,M,1156
old,M,1165
old,M,1166
old,M,1172
old,M,1185
old,M,1194
old,M,1194
old,M,1205
old,F,1214
old,M,1215
old,M,1223
old,M,1225
old,M,1226
old,M,1235
old,M,1235
old,M,1237
old,M,1240
old,M,1242
old,F,1244
old,M,1247
old,M,1252
old,M,1254
old,M,1259
old,M,1264
old,M,1269
old,M,1270
old,M,1270
old,M,1273
old,M,1273
old,M,1277
old,M,1278
old,M,1280
old,M,1281
old,M,1282
old,M,1286
old,M,1289
old,M,1289
old,M,1290
old,M,1290
old,M,1292
old,M,1295
old,M,1295
old,M,1296
old,M,1297
old,M,1299
old,M,1302
old,M,1305
old,M,1305
old,M,1313
old,M,1317
old,M,1320
old,M,1322
old,M,1326
old,M,1329
old,M,1329
old,M,1329
old,M,1331
old,M,1336
old,M,1343
old,M,1349
old,M,1349
old,M,1350
old,M,1351
old,M,1352
old,M,1353
old,M,1355
old,M,1355
old,M,1356
old,M,1357
old,M,1359
old,M,1360
old,M,1361
old,M,1364
old,M,1368
old,M,1369
old,M,1370
old,M,1373
old,M,1376
old,M,1377
old,M,1378
old,M,1380
old,M,1381
old,M,1381
old,M,1382
old,M,1382
old,M,1384
old,M,1384
old,M,1386
old,M,1388
old,M,1388
old,M,1390
old,M,1390
old,M,1390
old,M,1392
old,F,1393
old,M,1393
old,M,1394
old,M,1394
old,M,1394
old,M,1395
old,M,1396
old,M,1398
old,M,1399
old,M,1400
old,M,1400
old,M,1402
old,M,1403
old,M,1403
old,M,1403
old,M,1405
old,M,1405
old,M,1408
old,M,1409
old,M,1412
old,M,1413
old,F,1414
old,M,1414
old,F,1415
old,M,1415
old,M,1415
old,M,1416
old,M,1416
old,M,1416
old,M,1416
old,M,1420
old,M,1420
old,M,1422
old,M,1425
old,M,1426
old,M,1426
old,M,1428
old,M,1428
old,M,1428
old,M,1430
old,M,1432
old,M,1432
old,M,1432
old,M,1434
old,M,1434
old,M,1435
old,M,1435
old,M,1436
old,M,1437
old,M,1438
old,M,1440
old,M,1440
old,M,1445
old,M,1445
old,M,1446
old,M,1447
old,M,1448
old,M,1450
old,M,1450
old,M,1450
old,M,1451
old,M,1451
old,M,1452
old,M,1454
old,M,1454
old,M,1455
old,M,1456
old,M,1456
old,M,1456
old,M,1458
old,M,1463
old,M,1464
old,M,1465
old,M,1465
old,M,1466
old,M,1466
old,M,1467
old,M,1467
old,M,1468
old,M,1470
old,M,1471
old,M,1472
old,M,1472
old,M,1473
old,F,1474
old,M,1474
old,M,1475
old,M,1476
old,M,1477
old,M,1478
old,M,1478
old,M,1481
old,M,1482
old,M,1483
old,F,1485
old,M,1485
old,M,1486
old,M,1488
old,M,1489
old,M,1493
old,M,1495
old,M,1495
old,M,1496
old,M,1497
old,M,1498
old,M,1498
old,M,1499
old,M,1500
old,M,1500
old,M,1500
old,M,1501
old,M,1502
old,M,1502
old,M,1502
old,M,1503
old,M,1503
old,M,1507
old,M,1508
old,M,1510
old,M,1511
old,M,1514
old,M,1515
old,M,1520
old,M,1520
old,M,1523
old,M,1527
old,M,1527
old,M,1534
old,M,1535
old,F,1538
old,M,1538
old,M,1538
old,M,1543
old,F,1546
old,M,1550
old,M,1551
old,M,1555
old,M,1555
old,M,1560
old,M,1561
old,M,1561
old,M,1561
old,M,1562
old,M,1563
old,M,1564
old,M,1565
old,M,1565
old,M,1565
old,F,1569
old,M,1570
old,M,1573
old,M,1575
old,M,1575
old,M,1578
old,M,1580
old,F,1581
old,M,1581
old,M,1584
old,M,1586
old,M,1587
old,M,1595
old,M,1596
old,M,1598
old,M,1599
old,M,1600
old,M,1605
old,M,1605
old,M,1607
old,M,1609
old,M,1610
old,M,1613
old,M,1614
old,M,1614
old,M,1616
old,M,1618
old,F,1620
old,M,1620
old,M,1624
old,M,1628
old,M,1628
old,M,1633
old,M,1640
old,M,1643
old,M,1644
old,M,1644
old,M,1644
old,M,1649
old,M,1649
old,M,1652
old,M,1655
old,F,1655
old,M,1658
old,M,1659
old,M,1660
old,M,1662
old,M,1665
old,M,1669
old,M,1669
old,M,1673
old,F,1674
old,F,1677
old,M,1678
old,M,1680
old,M,1680
old,M,1682
old,M,1683
old,M,1684
old,F,1687
old,M,1690
old,F,1692
old,M,1694
old,M,1695
old,M,1697
old,M,1699
old,M,1700
old,M,1701
old,M,1702
old,M,1704
old,M,1705
old,M,1710
old,M,1711
old,M,1714
old,M,1715
old,M,1720
old,M,1721
old,M,1721
old,M,1722
old,F,1724
old,M,1724
old,M,1725
old,F,1726
old,M,1729
old,M,1731
old,F,1732
old,M,1733
old,M,1740
old,F,1744
old,M,1744
old,M,1746
old,M,1746
old,M,1748
old,M,1748
old,M,1748
old,M,1750
old,M,1755
old,M,1756
old,M,1756
old,M,1761
old,M,1767
old,M,1773
old,F,1781
old,M,1782
old,F,1787
old,M,1790
old,M,1792
old,M,1800
old,M,1802
old,M,1805
old,M,1810
old,M,1811
old,M,1815
old,M,1817
old,M,1820
old,M,1835
old,F,1835
old,M,1845
old,M,1847
old,M,1848
old,F,1849
old,M,1854
old,F,1865
old,F,1869
old,F,1870
old,M,1872
old,F,1874
old,F,1886
old,F,1888
old,M,1892
old,F,1907
old,F,1939
old,F,1950
old,F,1950
old,F,1958
old,F,1962
old,M,1991
old,F,1994
old,M,1995
old,F,2003
old,F,2004
old,F,2031
old,F,2040
old,F,2042
old,M,2052
old,M,2083
old,M,2087
old,M,2099
old,F,2111
old,M,2150
old,F,2184
old,M,2195
old,F,2198
old,F,2255
old,F,2257
old,F,2259
old,M,1272
old,F,2309
old,M,2323
old,M,2395
old,M,1498
old,M,1919
old,M,1098
old,M,1591
old,M,1248
old,M,1413
old,F,1637
old,M,1416
old,M,1098
old,M,1242
old,M,1098
old,M,1413
old,M,1088
old,M,1398
old,M,1168
old,F,1610
old,M,1383
old,M,1596
old,M,1196
old,F,1572
old,M,1309
old,M,1269
old,M,1320
old,M,1349
old,M,1089
old,M,1396
old,M,1364
old,M,1254
old,M,1424
old,F,1290
old,M,1411
old,M,1275
old,M,1411
old,M,1355
old,F,1354
old,M,1567
old,M,1374
old,F,1380
old,M,1499
old,M,1412
old,M,1361
old,M,1466
old,M,1119
old,M,1399
old,M,1381
old,F,1648
old,F,1621
old,F,1379
old,F,1803
old,M,1186
old,M,1422
old,M,1144
old,F,1610
old,M,1283
old,M,1231
old,F,1449
old,M,1470
old,M,1158
old,M,1474
old,M,1296
old,M,1254
old,M,1357
old,M,1267
old,M,1496
old,M,1244
old,M,1441
old,M,1172
old,M,1292
old,M,1339
old,F,1550
old,M,1697
old,M,1761
old,M,1350
old,M,1317
old,M,1175
old,M,1327
old,F,1441
old,M,1285
old,M,1350
old,M,1324
old,M,1277
old,M,1095
old,M,1189
old,M,1306
old,F,1373
old,M,1282
old,M,1289
old,M,1350
old,M,1396
old,M,1306
old,M,1223
old,M,1356
old,M,963
old,F,1333
old,M,1297
old,M,1167
old,M,1127
old,M,1341
old,M,1417
old,M,1327
old,M,1525
old,M,1287
old,M,1137
old,M,1342
old,M,1520
old,M,1186
old,M,1188
old,F,1658
old,M,1658
old,M,1277
old,M,1212
old,M,1542
old,M,1274
old,M,1237
old,M,1333
old,M,1244
old,M,1578
old,M,1235
old,F,1943
old,M,1480
old,F,1583
old,M,1187
old,M,1224
old,M,1413
old,M,1415
old,M,1394
old,M,1451
old,M,1199
old,F,1675
old,M,1976
old,M,1330
old,M,1313
old,M,1348
old,M,1809
old,M,1339
old,M,1211
old,M,1486
old,M,1196
old,M,1072
old,M,1248
old,M,1290
old,M,1292
old,M,1285
old,M,1307
old,M,1332
old,M,1454
old,M,1819
old,M,1248
old,M,1438
old,M,1728
old,M,1314
old,M,1650
old,M,1362
old,M,1230
old,M,1375
old,M,1399
old,M,1345
old,M,1451
old,M,1230
old,M,1361
old,F,1715
old,M,1845
old,M,1403
old,M,1572
old,M,1347
old,M,1833
old,M,1515
old,M,1281
old,M,1305
old,M,1237
old,F,2019
old,M,1084
old,M,1074
old,M,1371
old,M,1192
old,M,1257
old,M,1312
old,M,1518
old,M,1247
old,M,1209
old,M,1243
old,M,1478
old,M,1327
old,M,1671
old,M,1272
old,F,1571
old,M,1580
old,M,1531
old,M,1582
old,M,1272
old,M,1560
old,M,1317
old,M,1531
old,M,1402
old,M,1458
old,M,1381
old,M,1485
old,M,1342
old,M,1579
old,M,1304
old,M,1344
old,M,1261
old,M,1370
old,M,1452
old,M,1203
old,M,1304
old,F,1819
old,M,1545
old,M,1180
old,M,1497
old,M,1188
old,M,1468
old,M,1237
old,M,1195
old,M,1275
old,M,1448
old,M,1326
old,M,1459
old,M,1297
old,M,1201
old,M,1345
old,M,1250
old,M,1302
old,M,1462
old,M,1297
old,M,1453
old,M,1338
old,M,1392
old,M,1375
old,F,1519
old,M,1062
old,M,1251
old,F,1375
old,M,1288
old,F,1533
old,M,1292
old,M,1103
old,M,1375
old,M,1463
old,M,1359
old,M,1263
old,M,1202
old,M,1380
old,M,1302
old,M,1201
old,M,1268
old,M,1327
old,M,1280
old,M,1332
old,M,1411
old,F,1592
old,M,1204
old,M,1227
old,M,1376
old,F,1563
old,M,1350
old,M,1334
old,M,1331
old,M,1110
old,F,1697
old,M,1175
old,M,1202
old,M,1476
old,M,1245
old,F,1569
old,M,1443
old,F,1534
old,M,1353
old,M,1155
old,M,1229
old,M,1125
old,M,1297
old,M,1295
old,M,1368
old,M,1250
old,F,1546
old,M,1147
old,M,1352
old,M,1361
old,M,1447
old,M,1480
old,M,1558
old,M,1375
old,M,1391
old,M,1208
old,M,1332
old,M,1315
old,M,1199
old,M,1467
old,M,1393
old,M,1416
old,M,1393
old,M,1225
old,M,1324
old,M,1332
old,M,1603
old,M,1300
old,M,1349
old,M,1398
old,M,1319
old,M,1339
old,M,1453
old,M,1549
old,M,1453
old,M,1297
old,M,1205
old,M,1410
old,F,1631
old,M,1171
old,M,1370
old,M,1466
old,M,1402
old,M,1263
old,M,1434
old,M,1375
old,M,1422
old,M,1565
old,M,1532
old,M,1393
old,M,1376
old,M,1591
old,F,1852
old,M,1494
old,M,1329
old,M,1478
old,M,1638
old,M,1608
old,M,1635
old,M,1388
old,F,1586
old,M,1399
old,M,1225
old,M,1294
old,M,1346
old,M,1654
old,F,1657
old,M,1644
old,F,1896
old,M,1693
old,M,1585
old,F,1931
old,M,1377
old,M,1470
old,M,1370
old,M,1447
old,M,1780
old,M,1357
old,M,1370
old,F,1577
old,M,1431
old,M,1569
old,M,1741
old,M,1402
old,M,1374
old,M,1430
old,M,1364
old,M,1559
old,M,1472
old,M,1663
old,M,1464
old,M,1765
old,M,1460
old,M,1473
old,M,1473
old,M,1648
old,M,1637
old,M,1535
old,M,1324
old,F,1868
old,M,1151
old,M,1434
old,M,1627
old,M,1730
old,M,1508
old,F,1884
old,M,1562
old,M,1375
old,M,1606
old,F,1535
old,F,2369
old,M,1553
old,M,1549
old,F,1731
old,M,1431
old,M,1491
old,M,1634
old,M,1542
old,M,1495
old,M,1344
old,M,1639
old,F,1780
old,M,1553
old,M,1631
old,M,1416
old,F,1828
old,M,1583
old,F,1805
old,M,1699
old,M,1768
old,M,1413
old,F,2152
old,F,1988
old,F,2010
old,M,2089
old,M,1721
old,M,1625
old,M,1413
old,M,1613
old,M,1646
old,M,1528
old,M,1878
old,M,1436
old,M,2003
old,M,1807
old,M,1504
old,F,1917
old,M,1786
old,M,1656
old,M,1644
old,F,1888
old,F,1940
old,M,1641
old,M,1876
old,F,2125
new,M,2009
new,F,1756
new,M,1337
new,M,1236
new,M,1307
new,M,1087
new,M,1273
new,M,1213
new,M,1712
new,M,1389
new,M,1293
new,M,1289
new,M,1408
new,M,1480
new,F,1399
new,F,1402
new,M,1406
new,M,1337
new,M,1383
new,M,1378
new,M,1244
new,M,1117
new,M,1274
new,M,1245
new,M,1296
new,M,1273
new,M,1416
new,M,1467
new,M,1187
new,M,1265
new,M,1318
new,M,1159
new,M,1660
new,M,1325
new,F,1499
new,M,1242
new,M,1683
new,M,1422
new,M,1418
new,M,1638
new,M,1401
new,M,1483
new,M,1542
new,M,1299
new,M,1292
new,M,1192
new,M,1262
new,M,1346
new,M,1201
new,M,1314
new,M,1207
new,M,1387
new,M,1455
new,F,1582
new,M,1452
new,M,1633
new,M,1500
new,F,1846
new,M,1681
new,M,1153
new,M,1200
new,M,1612
new,M,1379
new,M,1585
new,M,1327
new,F,1785
new,M,1230
new,M,1424
new,M,1320
new,M,1356
new,M,1378
new,M,1448
new,M,1451
new,M,1400
new,F,1842
new,F,2248
new,M,1530
new,M,1603
new,M,1470
new,M,1762
new,M,1459
new,M,1458
new,M,1357
new,M,1527
new,M,1460
new,M,1328
new,M,1484
new,M,1209
new,M,1552
new,M,1525
new,M,1297
new,M,1486
new,M,1390
new,M,1499
new,M,1593
new,M,1244
new,M,1408
new,M,1175
new,M,1479
new,M,1440
new,M,1480
new,M,1316
new,M,1638
new,M,1826
new,M,1365
new,M,1597
new,M,1385
new,M,1516
new,M,1391
new,M,1348
new,M,1416
new,M,1537
new,M,1385
new,M,1453
new,F,1893
new,M,1374
new,M,1370
new,M,1217
new,M,1380
new,M,1408
new,M,1391
new,M,1529
new,M,1481
new,M,1540
new,F,2794
new,M,1453
new,M,1492
new,M,1860
new,F,1829
new,M,1353
new,M,1469
new,M,1381
new,M,1493
new,M,1396
new,M,1571
new,M,1372
new,M,1381
new,M,1299
new,M,1487
new,M,1470
new,M,1270
new,M,1224
new,F,2122
new,M,1239
new,M,1500
new,M,1503
new,M,1430
new,M,1520
new,M,1650
new,F,1866
new,M,1477
new,M,1512
new,M,1303
new,M,1167
new,M,1224
new,M,1379
new,M,1397
new,M,1435
new,M,1512
new,M,1734
new,M,1688
new,F,1633
new,M,1245
new,M,1475
new,M,1538
new,M,1513
new,M,1471
new,M,1301
new,M,1531
new,M,1537
new,M,1424
new,M,1257
new,M,1519
new,M,1471
new,M,1584
new,M,1785
new,M,1766
new,M,1168
new,M,1293
new,M,1455
new,M,1616
new,M,1417
new,M,1410
new,M,1498
new,M,1416
new,M,1310
new,M,1469
new,M,1728
new,M,1268
new,F,1753
new,M,1353
new,M,1848
new,M,1516
new,M,2270
new,M,1692
new,M,1539
